id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
33,Universidad Abierta Interamericana,,Localización Centro Anexo Cisneros,"Montes De Oca, Manuel Av. 745",Barracas,Comuna 4,4301-5240/5248/5398,,www.uai.edu.ar,POINT (-58.375053663660125 -34.6367133655621)
34,Universidad Abierta Interamericana,,Localización Belgrano,Montañeses 2759,Belgrano,Comuna 13,4788-2925/4787-9786/4788-2925,4780-3335,www.uai.edu.ar,POINT (-58.45392427809631 -34.551508883273506)
35,Universidad Abierta Interamericana,,Localización Centro Anexo (Piedras 1052),Piedras 1052,San Telmo,Comuna 1,4300-2147,,www.uai.edu.ar,POINT (-58.377216105500885 -34.62022207688387)
36,Universidad Abierta Interamericana,,Localización Centro Anexo (Piedras 735),Piedras 735,Monserrat,Comuna 1,4300-2147,,www.uai.edu.ar,POINT (-58.37744389245774 -34.61675426266318)
37,Universidad Abierta Interamericana,Facultad de Arquitectura - Facultad de Ciencias Empresariales - Facultad de Comunicación - Facultad de Derecho y Ciencias Políticas - Facultad de Desarrollo e Inv. Educativos - Facultad de Medicina y Ciencias de la Salud - Facultad de Motricidad Humana,,"Chacabuco 90, 1º piso",Monserrat,Comuna 1,4342-7788,4342-7654,www.uai.edu.ar,POINT (-58.37630982703031 -34.609118499001035)
38,Universidad Argentina de la Empresa,Facultad de Ciencias Económicas - Facultad de Ciencias Jurídicas y Sociales - Facultad de Comunicación y Diseño - Facultad de Dirección de Empresas - Facultad de Ingeniería y Ciencias Exactas - Rectorado,,Lima 717,Monserrat,Comuna 1,4379-7601/7636/7601,4381-2807,www.uade.edu.ar,POINT (-58.38160313878042 -34.6170740349788)
39,Universidad Argentina John F. Kennedy,Departamento de Arquitectura - Departamento de Construcciones y Estructuras - Departamento de Diseño - Departamento de Empresa,,Bolivar 1163,San Telmo,Comuna 1,4362-5766/4361-6506,,www.kennedy.edu.ar,POINT (-58.37286414025586 -34.62142767235715)
40,Universidad Argentina John F. Kennedy,Departamento de Penalistica,,Peru 1156,San Telmo,Comuna 1,4300-3816,,www.kennedy.edu.ar,POINT (-58.37411578158641 -34.62144034076336)
41,Universidad Argentina John F. Kennedy,Departamento de Periodismo y Comunicaciones,,Piedras 645,Monserrat,Comuna 1,4345-0175/8671,,www.kennedy.edu.ar,POINT (-58.37749793126693 -34.61565837736385)
42,Universidad Argentina John F. Kennedy,Departamento de Antropología - Departamento de Biología - Departamento de Ciencia Política - Departamento de Comercialización - Departamento de Computación - Departamento de Demografía y Turismo - Departamento de Historia - Departamento de Idiomas,,"Riobamba 152, 2º piso",Balvanera,Comuna 3,4371-4009/ 4115-0706,,www.kennedy.edu.ar,POINT (-58.39355686690121 -34.60753308628522)
43,Universidad Argentina John F. Kennedy,Departamento de Deportes - Departamento de Filosofía - Departamento de Psicoanálisis - Departamento de Psicología Clínica,,Estados Unidos 929,Constitucion,Comuna 1,4300-1166,,www.kennedy.edu.ar,POINT (-58.379146185456875 -34.618475545198606)
44,Universidad Argentina John F. Kennedy,Departamento de Diseño de Sistemas - Departamento de Tecnologías Informáticas,,Don Bosco 3729,Almagro,Comuna 5,4982-2746/4958-4075,,www.kennedy.edu.ar,POINT (-58.418272877381774 -34.61255855147659)
45,Universidad Argentina John F. Kennedy,"Departamento de Química General, Inorgánica y Orgánica",,"Calvo, Carlos 360",San Telmo,Comuna 1,4932-9307,,www.kennedy.edu.ar,POINT (-58.37090314263963 -34.619486632210474)
46,Universidad Argentina John F. Kennedy,Departamento de Abogacía - Departamento de Arte - Departamento de Economía - Departamento de Literatura - Departamento de Matemática y Física - Departamento de Relaciones Públicas - Departamento de Trabajo - Rectorado,,"Mitre, Bartolome 1411, 1º Piso",San Nicolas,Comuna 1,4371-6043 (C)4374-5211,,www.kennedy.edu.ar,POINT (-58.38650519056831 -34.60759314655144)
47,Universidad Argentina John F. Kennedy,Departamento de Estudiantes,,San Jose 868,Constitucion,Comuna 1,4383-5371/ 4382-4259,,www.kennedy.edu.ar,POINT (-58.385824897292295 -34.61842824248192)
48,Universidad Argentina John F. Kennedy,Escuela de Odontología,,Parral 221,Caballito,Comuna 6,4901-1079/1935,,www.kennedy.edu.ar,POINT (-58.44003792845176 -34.61673208085601)
49,Universidad Austral,Escuela y Laboratorio Ambiental - Facultad de Ciencias para la Familia - Facultad de Comunicación - Facultad de Derecho - Facultad de Ingeniería - Inglés - Rectorado,,"Garay, Juan De Av. 125",San Telmo,Comuna 1,5921-8000,5921-8000,www.austral.edu.ar,POINT (-58.36734344341167 -34.62396859969306)
50,Universidad CAECE,Departamento de Administración - Departamento de Ciencias Biológicas - Departamento de Ciencias Pedagógicas - Departamento de Computación - Departamento de Humanidades - Rectorado,,Junin 516,Balvanera,Comuna 3,5252-2811 (C)52522800,5252-2811,www.caece.edu.ar,POINT (-58.396997118229805 -34.60309255597987)
51,Universidad CAECE,Departamento de Matemáticas - Departamento de Sistemas - Posgrado,,De Mayo Av. 866,Monserrat,Comuna 1,5217-7878,5217-7887,www.caece.edu.ar,POINT (-58.3787354777531 -34.60894479296182)
52,Universidad CAECE,Escuela de Administración y Negocios,,"Peron, Juan Domingo, Tte. General 555, 1º piso",San Nicolas,Comuna 1,4393-0014/4328-5226,,www.caece.edu.ar,POINT (-58.374555473558665 -34.6056532696988)
53,Universidad Católica de La Plata,,Sede Buenos Aires,Larrea 1254,Recoleta,Comuna 2,4826-7026,,,POINT (-58.40024148453003 -34.592521284681766)
54,Universidad Católica de Salta,,Subsede Académica Buenos Aires,"Paseo Colon Av. 533, piso 8º",Monserrat,Comuna 1,5169-3324/93316,,,POINT (-58.36954923769111 -34.61426843669815)
55,Universidad de Belgrano,Estudios para Graduados - Facultad de Arquitectura y Urbanismo - Facultad de Ciencias Económicas - Facultad de Derecho y Ciencias Sociales - Facultad de Humanidades - Facultad de Lenguas y Estudios Extranjeros - Rectorado,,Zabala 1837,Belgrano,Comuna 13,4788-5400,4576-3923,www.ub.edu.ar,POINT (-58.44379034883942 -34.56425702052904)
56,Universidad de Belgrano,Escuela de Economía y Negocios Internacionales - Posgrado de Derecho,,"Alvear, Marcelo T. De 1560",Recoleta,Comuna 2,4812-6460 / 9680,,www.ub.edu.ar,POINT (-58.38913520579369 -34.59720393372434)
57,Universidad de Belgrano,Facultad de Ciencias de la Salud - Facultad de Ciencias Exactas y Naturales - Facultad de Ingeniería,,Villanueva 1324,Palermo,Comuna 14,4511-4700 / 4701 / 4735 / 4736,,www.ub.edu.ar,POINT (-58.44269588624576 -34.5655045109766)
58,Universidad de Belgrano,Departamento de Posgrado y Educación Continua,,Lavalle 485,San Nicolas,Comuna 1,4393-5588/8459/8491,,www.ub.edu.ar,POINT (-58.37369102921376 -34.60208911398834)
59,Universidad de Belgrano,Facultad de Ciencias Agrarias - Facultad de Estudios a Distancia y Educación Virtual - Facultad de Tecnología Informática,,"Lacroze, Federico Av. 1947 / Lacroze, Federico Av. 1955",Palermo,Comuna 14,4511-4740/4576-3903/4511-4711,,www.ub.edu.ar,POINT (-58.44103258824885 -34.5658980921342)
60,Universidad de Bologna,Rectorado,,Rodriguez Peña 1464,Recoleta,Comuna 2,4878-2900,4878-8628,www.unibo.edu.ar,POINT (-58.39123042033842 -34.59284586477624)
61,Universidad de Buenos Aires,Facultad de Psicología,,"Yrigoyen, Hipolito 3238 / Yrigoyen, Hipolito 3246",Balvanera,Comuna 3,4931-9956/4957-5877 (R) 4931-6900,4956-1218,www.uba.ar   www.psi.uba.ar,POINT (-58.41236988961251 -34.61223853634902)
62,Universidad de Buenos Aires,Facultad de Ciencias Económicas,,Cordoba Av. 2122,Balvanera,Comuna 3,4370-6159/4/4448/4374-1155,4370-6103,www.uba.ar   www.econ.uba.ar,POINT (-58.397928893581536 -34.59982462927396)
63,Universidad de Buenos Aires,Facultad de Ciencias Veterinarias,,Chorroarin Av. 280,Agronomia,Comuna 15,4524-8400(R)4524-8402/4514-8952,4514-8968,www.uba.ar   www.fvet.uba.ar,POINT (-58.47762060069653 -34.59615823329081)
64,Universidad de Buenos Aires,,"Sede - Rector José Luis Romero (""Montes de Oca"")","Montes De Oca, Manuel Av. 1120",Barracas,Comuna 4,4302-8589,,www.uba.ar,POINT (-58.374042621753006 -34.64102453422791)
65,Universidad de Buenos Aires,Facultad de Derecho,,"Figueroa Alcorta, Pres. Av. 2263",Recoleta,Comuna 2,4809-5697/5600/5696/3190,4809-5694,www.uba.ar   www.derecho.uba ar,POINT (-58.3923729479841 -34.583291167211)
66,Universidad de Buenos Aires,Facultad de Agronomía,,San Martin Av. 4453,Agronomia,Comuna 15,4514-8732 (C)4524-8000,4514-8737,www.uba.ar   www.agro.uba.ar,POINT (-58.48236258288056 -34.59801807629182)
67,Universidad de Buenos Aires,,Centro Universitario Regional Paternal,San Martin Av. 4453,Agronomia,Comuna 15,4514-8980,4523-4265,www.uba.ar,POINT (-58.48236258288056 -34.59801807629182)
68,Universidad de Buenos Aires,Ciclo Básico Común,"Sede ""Villa Lugano""","Fernandez De La Cruz, F., Gral. Av. 5430",Villa Lugano,Comuna 8,,,www.uba.ar,POINT (-58.464974159539196 -34.67907004644322)
69,Universidad de Buenos Aires,Ciclo Básico Común,,"Sendero Complejo Ciudad Universitaria (Sin Nombre Oficial) y Complejo Ciudad Universitaria (Sin Nombre Oficial), Ciudad Universitaria - Pabellón  I",Belgrano,Comuna 13,4789 - 6000,4789-6098,www.uba.ar   www.cbc.uba.ar,POINT (-58.43950208815731 -34.54470349233196)
70,Universidad de Buenos Aires,Facultad de Psicología,Sede Bulnes,Bulnes 295,Almagro,Comuna 5,,,www.uba.ar   www.psi.uba.ar,POINT (-58.41862501834394 -34.60732432037212)
71,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,,"Sendero Complejo Ciudad Universitaria (Sin Nombre Oficial) y Complejo Ciudad Universitaria (Sin Nombre Oficial), Ciudad Universitaria - Pabellón II",Belgrano,Comuna 13,4576-3332/3/3300/09,4576-3351,www.uba.ar   www.fcen.uba.ar,POINT (-58.4428403682179 -34.54227772160852)
